node,Katz_centrality_hypergraph_in,Katz_centrality_hypergraph_out
Azteca,6.647544313613404,26.676726156765792
Azya orbigera,16.17051623261137,10.504821397520299
Berry Borer,4.970592168493196,5.926843865292301
Coffee Rust,1.889143732984868,1.6418743230294173
Diomus,7.838442823413603,2.1169875863804934
Leaf Miner,1.7460442613241776,1.4929065157791017
Linyphiidae,6.22903355157809,5.368211614473813
Mycodiplosis,1.2008744383917571,1.174582048358637
Parasites 1,14.202582635872753,9.516428285356705
Parasites 2,7.969461228417232,4.350962759141482
Parasites 3,1.1856585363393597,1.1587421606373474
Pheidole protensa,2.406678357167351,2.521948430854324
Pheidole synanthropica,8.258655037094497,8.386472269373149
Phorid,3.7383573858525363,11.02421307723675
Pseudomyrmex,5.830589285403045,3.4768464323496397
Scale,19.94182387811891,17.33929444655676
Solenopsis geminata,1.8781505946222787,1.8917415217192843
Solenopsis picea,1.8028857833685599,1.5606833147605297
Wasamannia auropunctata,1.7202303116393303,1.796155840857969
White Halo Fungus,7.161166667183081,4.861989177045654
