node,Katz_centrality_pangraph_in,Katz_centrality_pangraph_out
"(Azteca,(Azya orbigera,Scale))",4.528121355658487,1.9824227002362622
"(Scale,White Halo Fungus)",4.2827392881462325,1.7569008448952712
"(Scale,Diomus)",7.787340435676156,1.6677801642187937
"(White Halo Fungus,Scale)",3.478470862464899,3.4077500790865463
Diomus,4.886617292667597,2.316342962028216
"(Azteca,(Parasites 2,Azya orbigera))",4.528121355658487,1.6677801642187937
Scale,5.692656225741464,8.35181284029227
"(Azteca,(Azya orbigera,Parasites 2))",4.528121355658487,1.4269024829489736
"(Parasites 2,Azya orbigera)",2.9217484988430136,2.316342962028216
"(Scale,Pheidole synanthropica)",4.879315866977033,8.048413342384062
Pheidole protensa,10.66479009418627,15.608159551228729
"(Azteca,Pseudomyrmex)",4.528121355658487,5.229587308268104
Azya orbigera,5.694249905509916,4.566026244994027
"(Scale,Azteca)",7.787340435676157,10.001489824176629
"(Parasites 1,Linyphiidae)",4.638588908274166,1.6717908936223802
Linyphiidae,3.642677438420057,2.330255062633159
"(Azteca,Azya orbigera)",4.528121355658487,2.3163429620282163
Parasites 2,2.13788768234705,1.6677801642187937
"(Azteca,(Parasites 1,Scale))",4.528121355658487,1.982422700236262
Pheidole synanthropica,17.850732888639048,24.448978142674832
"(Parasites 1,Scale)",8.852028811426434,3.4077500790865467
Pseudomyrmex,13.322848323325237,14.671257576588797
"(Phorid,Linyphiidae)",4.528121355658487,1.6717908936223802
"(Azteca,(Scale,Azya orbigera))",4.528121355658487,1.6677801642187937
"(Linyphiidae,Parasites 1)",4.288326020618583,1.7104591616063385
"(Scale,Azya orbigera)",3.946555256987842,2.3163429620282163
"(Azteca,(Scale,Parasites 1))",4.528121355658487,1.493109491362578
Coffee Rust,2.317797956446161,2.2305783490113327
Berry Borer,15.673725778589988,26.22264910498222
Wasamannia auropunctata,7.540898307395822,10.97994799789954
Solenopsis geminata,6.1462005131414585,8.04841334238406
"(Azya orbigera,Parasites 2)",3.947014700064682,1.48080553277296
White Halo Fungus,2.902873588834504,2.6254777230129496
Leaf Miner,5.594076437134617,6.0180471599239445
"(Linyphiidae,Phorid)",4.288326020618583,2.903824276473061
Phorid,4.474460510767937,6.603834914602163
Parasites 1,4.857641610992964,2.46438448904888
Parasites 3,2.6127202849837476,2.734947106974007
"(Pseudomyrmex,Berry Borer)",7.079029387587964,8.559746208844663
Mycodiplosis,1.6681996255970446,1.6430550227766871
"(Scale,Parasites 1)",9.092755770129305,1.7104591616063387
"(Azya orbigera,Scale)",3.947014700064683,3.4077500790865476
Azteca,7.763607508100871,31.223655207537128
Solenopsis picea,7.014824393311282,8.395004345964033
"(Berry Borer,Pseudomyrmex)",7.756765525487147,5.229587308268106
