;source;target
0;[Azteca, Azya orbigera];[Parasites 2]
1;[Azteca, Azya orbigera];[Scale]
2;[Azteca, Berry Borer];[Pseudomyrmex]
3;[Azteca, Linyphiidae];[Parasites 1]
4;[Azteca, Linyphiidae];[Phorid]
5;[Azteca, Parasites 1];[Linyphiidae]
6;[Azteca, Parasites 1];[Scale]
7;[Azteca, Parasites 2];[Azya orbigera]
8;[Azteca, Phorid];[Linyphiidae]
9;[Azteca, Pseudomyrmex];[Berry Borer]
10;[Azteca, Scale];[Azya orbigera]
11;[Azteca, Scale];[Parasites 1]
12;[Azteca, Scale];[Pheidole synanthropica]
13;[Azteca];[Azya orbigera]
14;[Azteca];[Berry Borer]
15;[Azteca];[Pheidole synanthropica]
16;[Azteca];[Phorid]
17;[Azteca];[Pseudomyrmex]
18;[Azya orbigera, Scale];[White Halo Fungus]
19;[Azya orbigera, White Halo Fungus];[Scale]
20;[Azya orbigera];[Diomus]
21;[Azya orbigera];[Parasites 2]
22;[Azya orbigera];[Scale]
23;[Berry Borer];[Azteca]
24;[Berry Borer];[Pheidole protensa]
25;[Berry Borer];[Pheidole synanthropica]
26;[Berry Borer];[Pseudomyrmex]
27;[Berry Borer];[Wasamannia auropunctata]
28;[Coffee Rust];[Mycodiplosis]
29;[Coffee Rust];[White Halo Fungus]
30;[Diomus];[Azya orbigera]
31;[Leaf Miner];[Parasites 3]
32;[Leaf Miner];[Pseudomyrmex]
33;[Linyphiidae];[Parasites 1]
34;[Linyphiidae];[Phorid]
35;[Mycodiplosis];[Coffee Rust]
36;[Parasites 1];[Linyphiidae]
37;[Parasites 1];[Scale]
38;[Parasites 2];[Azya orbigera]
39;[Parasites 3];[Leaf Miner]
40;[Pheidole protensa];[Berry Borer]
41;[Pheidole protensa];[Pheidole synanthropica]
42;[Pheidole synanthropica, Parasites 1];[Scale]
43;[Pheidole synanthropica, Scale];[Azteca]
44;[Pheidole synanthropica, Scale];[Diomus]
45;[Pheidole synanthropica, Scale];[Parasites 1]
46;[Pheidole synanthropica];[Berry Borer]
47;[Pheidole synanthropica];[Pheidole protensa]
48;[Pheidole synanthropica];[Pseudomyrmex]
49;[Pheidole synanthropica];[Solenopsis geminata]
50;[Phorid, Azteca, Azya orbigera];[Parasites 2]
51;[Phorid, Azteca, Azya orbigera];[Scale]
52;[Phorid, Azteca, Parasites 1];[Scale]
53;[Phorid, Azteca, Parasites 2];[Azya orbigera]
54;[Phorid, Azteca, Scale];[Azya orbigera]
55;[Phorid, Azteca, Scale];[Parasites 1]
56;[Phorid, Azteca];[Azya orbigera]
57;[Phorid, Azteca];[Pseudomyrmex]
58;[Phorid];[Linyphiidae]
59;[Pseudomyrmex];[Berry Borer]
60;[Pseudomyrmex];[Leaf Miner]
61;[Pseudomyrmex];[Pheidole synanthropica]
62;[Pseudomyrmex];[Solenopsis picea]
63;[Scale];[Azteca]
64;[Scale];[Azya orbigera]
65;[Scale];[Diomus]
66;[Scale];[Parasites 1]
67;[Scale];[Pheidole synanthropica]
68;[Scale];[White Halo Fungus]
69;[Solenopsis geminata];[Pheidole synanthropica]
70;[Solenopsis picea];[Pseudomyrmex]
71;[Solenopsis picea];[Wasamannia auropunctata]
72;[Wasamannia auropunctata];[Berry Borer]
73;[Wasamannia auropunctata];[Solenopsis picea]
74;[White Halo Fungus];[Coffee Rust]
75;[White Halo Fungus];[Scale]
