Unnamed: 0,species,degree_in_hypergraph,degree_out_hypergraph,degree_in_pangraph,degree_out_pangraph,degree_in_generalized_pangraph,degree_out_generalized_pangraph
0,Azteca,4,26,2,18,2,18
1,Azya orbigera,16,9,4,5,4,5
2,Berry Borer,7,6,5,5,5,5
3,Coffee Rust,2,2,2,2,2,2
4,Diomus,4,1,2,1,2,1
5,Leaf Miner,2,2,2,2,2,2
6,Linyphiidae,6,4,2,2,2,2
7,Mycodiplosis,1,1,1,1,1,1
8,Parasites 1,11,6,2,2,2,2
9,Parasites 2,6,3,1,1,1,1
10,Parasites 3,1,1,1,1,1,1
11,Pheidole protensa,2,2,2,2,2,2
12,Pheidole synanthropica,8,8,6,8,6,8
13,Phorid,4,10,2,9,2,9
14,Pseudomyrmex,9,5,5,4,5,4
15,Scale,17,15,3,6,3,6
16,Solenopsis geminata,1,1,1,1,1,1
17,Solenopsis picea,2,2,2,2,2,2
18,Wasamannia auropunctata,2,2,2,2,2,2
19,White Halo Fungus,4,3,2,2,2,2
